StudentID,FirstName,LastName,Gender,DateOfBirth,SocialID
23125001,Tang Xuan,Bac,Male,23/02/2005,049205123456
23125002,Vo Minh,Dang,Male,17/11/2005,049205789012
23125003,Tran Nguyen Thanh,Danh,Male,28/07/2005,049205345678
23125004,Tran Duy Anh,Dung,Male,14/03/2005,049205901234
23125005,Xin Quy,Hung,Male,20/10/2005,049205567890
23125006,Vo Gia,Huy,Male,25/06/2005,049205234567
23125007,Nguyen Gia,Khanh,Male,22/01/2005,049205890123
23125008,Dang Bao,Khoa,Male,18/08/2005,049205678901
23125009,Nguyen Minh,Khoa,Male,15/04/2005,049205012345
23125010,Le Dai,King,Male,21/11/2005,049205789012
23125011,Vu Quoc,King,Male,26/07/2005,049205345678
23125012,Nguyen Huy,Long,Male,23/02/2005,049205901234
23125013,Mai Trung,Nguyen,Male,19/09/2005,049205567890
23125014,Nguyen Thanh,Nhan,Male,16/05/2005,049205234567
23125015,Ly Hoang,Nhut,Male,22/12/2005,049205890123
23125016,Pham Nguyen Anh,Tai,Male,27/08/2005,049205678901
23125018,Tu Cong,Thanh,Male,24/03/2005,049205012345
23125019,Le Vinh,Thuan,Male,20/10/2005,049205789012
23125020,Vo Khac,Trieu,Male,25/06/2005,049205345678
23125021,Doan Duc,Tuan,Male,22/01/2005,049205901234
23125022,Hoang Duy,Vu,Male,18/08/2005,049205567890
23125023,Nguyen Hoang The,Kiet,Male,15/04/2005,049205234567
23125027,Phan Le Thuc,Bao,Male,21/11/2005,049205890123
23125028,Le Tien,Dat,Male,26/07/2005,049205678901
23125030,Phan Tan,Dat,Male,23/02/2005,049205012345
23125032,Pham Duc,Duy,Male,19/09/2005,049205789012
23125034,Cao Thanh,Hieu,Female,16/05/2005,049105345678
23125039,Trinh Minh,Huy,Male,22/12/2005,049205901234
23125043,Nguyen Van Hoang,Nhat,Male,27/08/2005,049205567890
23125048,Nguyen Thu,Uyen,Female,24/03/2005,049105234567
23125052,Truong Gia,Bao,Male,20/10/2005,049205890123
23125061,Pham Gia Hung,Khoa,Male,25/06/2005,049205678901
23125062,Phan Tuan,Kiet,Male,22/01/2005,049205012345
23125066,Nguyen Hoang,Phat,Male,18/08/2005,049205789012
23125069,Le Minh,Qui,Male,15/04/2005,049205345678
23125074,Thoi Gia,Nghi,Female,21/11/2005,049105901234
23125081,Le Duc Tung,Duong,Male,26/07/2005,049205567890
23125087,Tran Trong,Nguyen,Male,23/02/2005,049205234567
23125090,Vo Dang,Quan,Male,19/09/2005,049205890123
23125091,Phan Nhat,Thanh,Male,16/05/2005,049205678901
23125093,Le Thi Tuyet,Tram,Female,14/04/2005,049105012345
